setting,adsorbed,slab,molecule,differs,partial
kpoints,,,,False,True
kpoints.density,,,,False,True
kpoints.mesh,,,,False,True
kpoints.mode,,,,False,True
kpoints.shift,,,,False,True
kpoints.spacing_2pi_per_A,,,,False,True
method.code,,,,False,False
method.d3_params,,,,False,False
method.dispersion,,,,False,False
method.filling_temperature,,,,False,False
method.max_scc_iterations,,,,False,False
method.scc,,,,False,False
method.scc_tolerance,,,,False,False
method.sk_set,,,,False,False
method.solvation_param_file,,,,False,False
method.third_order,,,,False,False
structure.charge,,,,False,False
structure.multiplicity,,,,False,False
structure.periodic,,,,True,False
task.force_tolerance_ev_per_ang,,,,False,False
task.max_steps,,,,False,False
task.optimizer,,,,False,False
task.relax_cell,,,,False,False
task.type,,,,False,False
